0,2,13,6,3,1,13
0.125,2,13,35,3,3,13
0.25,2,13,49,3,5,13
0.5,2,13,70,3,8,13
1,2,13,85,3,14,13
2,2,13,100,3,20,13
3,2,13,115,4,26,13
4,2,14,130,5,32,14
5,3,15,145,6,28,15
6,3,15,160,6,44,15
7,3,15,175,6,50,15
8,3,16,190,7,56,16
9,4,16,205,7,62,16
10,4,17,220,7,68,16
11,4,17,235,8,74,17
12,4,17,250,8,80,17
13,5,18,265,8,86,18
14,5,18,280,8,92,18
15,5,18,295,8,98,18
16,5,18,310,9,104,18
17,6,19,325,10,110,19
18,6,19,340,10,116,19
19,6,19,355,10,122,19
20,6,19,400,10,140,19
21,7,19,445,11,158,20
22,7,19,490,11,176,20
23,7,19,535,11,194,20
24,7,19,580,12,212,21
25,8,19,625,12,230,21
26,8,19,670,12,248,21
27,8,19,715,13,266,22
28,8,19,760,13,284,22
29,9,19,805,13,302,22
30,9,19,850,14,320,23
